시도명,시군구명,읍/면/동,등록인구수,인구밀도,어린이보호구역개수
광주광역시,동구,계림1동,6108,0.00412621,4
광주광역시,동구,계림2동,8271,0.005587407,4
광주광역시,동구,동명동,4066,0.002746754,1
광주광역시,동구,산수1동,8900,0.006012323,5
광주광역시,동구,산수2동,10764,0.007271533,5
광주광역시,동구,서남동,3787,0.002558277,0
광주광역시,동구,지산1동,4818,0.003254761,2
광주광역시,동구,지산2동,5086,0.003435806,2
광주광역시,동구,지원1동,8266,0.00558403,0
광주광역시,동구,지원2동,14920,0.010079086,0
광주광역시,동구,충장동,4502,0.00304129,0
광주광역시,동구,학동,8629,0.005829251,3
광주광역시,동구,학운동,12387,0.008367938,0
