,시도명,읍/면/동,인구
0,전라남도,지도읍,4798
1,전라남도,압해읍,6533
2,전라남도,증도면,1948
3,전라남도,임자면,3290
4,전라남도,자은면,2331
5,전라남도,비금면,3638
6,전라남도,도초면,2908
7,전라남도,흑산면,4194
8,전라남도,하의면,1850
9,전라남도,신의면,1630
10,전라남도,장산면,1634
11,전라남도,안좌면,3163
12,전라남도,팔금면,1055
13,전라남도,암태면,2130
