,시도명,읍/면/동,인구
0,부산광역시,동대신1동,4769
1,부산광역시,동대신2동,8225
2,부산광역시,동대신3동,6956
3,부산광역시,서대신1동,12051
4,부산광역시,서대신3동,8991
5,부산광역시,서대신4동,8250
6,부산광역시,부민동,8337
7,부산광역시,아미동,8071
8,부산광역시,초장동,5109
9,부산광역시,충무동,10435
10,부산광역시,남부민1동,5412
11,부산광역시,남부민2동,10544
12,부산광역시,암남동,15471
