,시도명,읍/면/동,인구
0,충청남도,진천읍,31917
1,충청남도,덕산면,22439
2,충청남도,초평면,3508
3,충청남도,문백면,4147
4,충청남도,백곡면,2167
5,충청남도,이월면,8078
6,충청남도,광혜원면,12009
