,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자
0,어린이집,굿모닝어린이집,충청남도 아산시 권곡로14번길 7-14 (권곡동),,36.79256919,127.0110364,충청남도 아산시청,아산경찰서,N,0,5,2020-09-01
1,어린이집,대통령어린이집,충청남도 아산시 배방읍 온천대로 2358,,36.78096343,127.0939481,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
2,어린이집,둔포아이조아어린이집,충청남도 아산시 둔포면 아산호로 1216 (송용리),,36.92628198,127.0340975,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
3,어린이집,리라어린이집,충청남도 아산시 온주길16번길 888-26 (장존동),,36.75686164,127.0193341,충청남도 아산시청,아산경찰서,Y,1,5,2020-09-01
4,어린이집,비버어린이집,충청남도 아산시 배방읍 북수로 87-8,,36.77438802,127.0709053,충청남도 아산시청,아산경찰서,Y,2,5,2020-09-01
5,어린이집,산들예랑어린이집,충청남도 아산시 득산로 27,,36.77817743,126.9747679,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
6,어린이집,삼광어린이집,충청남도 아산시 외암로 1387-12 (읍내동),,36.75899697,127.0159971,충청남도 아산시청,아산경찰서,Y,1,5,2020-09-01
7,어린이집,삼성어린이집,충청남도 아산시 배방읍 북수로 5,,36.77060591,127.0643461,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
8,어린이집,순천향어린이집,충청남도 아산시 신창면 순천향로 22,창면 읍,36.77136846,126.9341296,충청남도 아산시청,아산경찰서,Y,1,5,2020-09-01
9,어린이집,아이다사랑어린이집,충청남도 아산시 음봉면 연암율금로 592,,36.88463614,127.0825681,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
10,어린이집,아하브어린이집,충청남도 아산시 어의정로 171-8 (풍기동),,36.77521269,127.0153703,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
11,어린이집,알프스하이디어린이집,충청남도 아산시 탕정면 매곡천길 41-8,,36.78905173,127.0722789,충청남도 아산시청,아산경찰서,N,0,5,2020-09-01
12,어린이집,연화어린이집,충청남도 아산시 배방읍 연화로 36,,36.78607533,127.0956975,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
13,어린이집,예슬어린이집,충청남도 아산시 배방읍 갈매길 159-23,,36.76840163,127.0752009,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
14,어린이집,음봉어린이집,충청남도 아산시 음봉면 아산온천로 473,,36.85058575,127.0078125,충청남도 아산시청,아산경찰서,N,0,7,2020-09-01
15,어린이집,이순신어린이집,충청남도 아산시 어의정로133번길 14,,36.77566772,127.0104691,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
16,어린이집,청담어린이집,충청남도 아산시 배방읍 갈매길 63,,36.76503693,127.0840934,충청남도 아산시청,아산경찰서,N,0,5,2020-09-01
17,어린이집,청솔어린이집,충청남도 아산시 온화로41번길 12-2 (온천동),,36.77815872,127.0022816,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
18,어린이집,키즈스쿨어린이집,충청남도 아산시 배방읍 배방로229번길25-3,,36.77274541,127.0708187,충청남도 아산시청,아산경찰서,Y,1,5,2020-09-01
19,어린이집,파랑새어린이집,충청남도 아산시 서부북로 995-15 (배미동),,36.78772453,126.9711042,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
20,어린이집,하나아트어린이집,충청남도 아산시 번영로206번길 25 (모종동),,36.78231294,127.0130838,충청남도 아산시청,아산경찰서,Y,1,5,2020-09-01
21,어린이집,하버드어린이집,충청남도 아산시 배방읍 공수길 15 (공수리),,36.76845912,127.0595108,충청남도 아산시청,아산경찰서,Y,1,5,2020-09-01
22,어린이집,한마음어린이집,충청남도 아산시 번영로179번길 35 (권곡동),,36.78827334,127.0113604,충청남도 아산시청,아산경찰서,Y,2,7,2020-09-01
23,어린이집,해람어린이집,충청남도 아산시 고불로 746-6 (좌부동),,36.76024852,127.0257421,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
24,어린이집,해솔어린이집,충청남도 아산시 곡교천로 28-10 (방축동),,36.78757518,126.9861941,충청남도 아산시청,아산경찰서,Y,1,5,2020-09-01
25,유치원,대명아이웰유치원,충청남도 아산시 시민로 208번길 3-7,,36.76902431,126.995175,충청남도 아산시청,아산경찰서,Y,2,7,2020-09-01
26,유치원,룸비니유치원,충청남도 아산시 신정로 183,,36.74166131,126.9694194,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
27,유치원,빛나유치원,충청남도 아산시 신창면 온천대로1092번길 75,,36.77791263,126.9598161,충청남도 아산시청,아산경찰서,Y,2,5,2020-09-01
28,유치원,삼성샛별유치원,충청남도 아산시 탕정면 탕정면로 22번길 13,,36.79783257,127.0600824,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
29,유치원,아산흰돌유치원,충청남도 아산시 영인면 아산호로 229,백석포리,36.89010967,126.9433114,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
30,유치원,아이사랑유치원,충청남도 아산시 남부로 321-19,,36.77352127,127.0157055,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
31,유치원,아주나유치원,충청남도 아산시 배방읍 용연동길 48,,36.79318963,127.0935519,충청남도 아산시청,아산경찰서,Y,1,20,2020-09-01
32,유치원,아해랑유치원,충청남도 아산시 염치읍 송곡남길 82-5,,36.79996441,127.0140065,충청남도 아산시청,아산경찰서,N,0,7,2020-09-01
33,유치원,온양제일유치원,충청남도 아산시 모종북로17,,36.78814014,127.0170426,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
34,유치원,일심유치원,충청남도 아산시 배방읍 봉강천로 171,,36.76807148,127.0861296,충청남도 아산시청,아산경찰서,N,0,7,2020-09-01
35,유치원,프라임유치원,충청남도 아산시 배방읍 북수로 111번길 6-9,,36.77459039,127.0737412,충청남도 아산시청,아산경찰서,Y,2,5,2020-09-01
36,유치원,하나유치원,충청남도 아산시 배방읍 모산로126번길 17-7,,36.77339728,127.0583416,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
37,유치원,하늘유치원,충청남도 아산시 문화로 26-9,,36.78699892,126.9910754,충청남도 아산시청,아산경찰서,Y,1,5,2020-09-01
38,유치원,해와달유치원,충청남도 아산시 서부북로 956,,36.78862124,126.9653184,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
39,초등학교,거산초등학교(병설유치원 포함),충청남도 아산시 송악면 외암로 460,,36.69192064,126.9898667,충청남도 아산시청,아산경찰서,Y,2,7,2020-09-01
40,초등학교,공수초등학교(병설유치원 포함),충청남도 아산시 배방읍 모산로 38-59,,36.76873493,127.0462049,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
41,초등학교,관대초등학교(병설유치원 포함),충청남도 아산시 둔포면 산전길 19,,36.89847743,127.0369047,충청남도 아산시청,아산경찰서,Y,1,5,2020-09-01
42,초등학교,권곡초등학교,충청남도 아산시 문화로 243번길 14,,36.79065661,127.0140413,충청남도 아산시청,아산경찰서,Y,2,9,2020-09-01
43,초등학교,금곡초등학교(병설유치원 포함),충청남도 아산시 배방읍 고불로 563-4,,36.75001491,127.0406311,충청남도 아산시청,아산경찰서,Y,3,7,2020-09-01
44,초등학교,금성초등학교(병설유치원 포함),충청남도 아산시 인주면 인주로 129,,36.84466448,126.8797669,충청남도 아산시청,아산경찰서,Y,2,7,2020-09-01
45,초등학교,남성초등학교,충청남도 아산시 신창면 남성길 152-64,,36.78723879,126.9566315,충청남도 아산시청,아산경찰서,Y,3,7,2020-09-01
46,초등학교,남창초등학교(병설유치원 포함),충청남도 아산시 둔포면 신남북길 16,,36.92089241,127.0012695,충청남도 아산시청,아산경찰서,Y,2,7,2020-09-01
47,초등학교,도고온천초등학교(병설유치원 포함),충청남도 아산시 도고면 도고면로 73,,36.7576639,126.8754528,충청남도 아산시청,아산경찰서,Y,1,7,2020-09-01
48,초등학교,도고초등학교(병설유치원 포함),충청남도 아산시 도고면 도고산로 598,,36.74655387,126.8988184,충청남도 아산시청,아산경찰서,Y,4,7,2020-09-01
49,초등학교,동덕초등학교(병설유치원 포함),충청남도 아산시 탕정면 탕정면로 381,정면 동,36.82086691,127.0842494,충청남도 아산시청,아산경찰서,Y,2,7,2020-09-01
50,초등학교,동방초등학교(병설유치원 포함),충청남도 아산시 배방읍 휴대안길 10,,36.77921075,127.1148896,충청남도 아산시청,아산경찰서,Y,3,7,2020-09-01
51,초등학교,동신초등학교(병설유치원 포함),충청남도 아산시 번영로234번길 52,,36.77959748,127.0170843,충청남도 아산시청,아산경찰서,Y,9,14,2020-09-01
52,초등학교,둔포초등학교(병설유치원 포함),충청남도 아산시 둔포면 둔포중앙로 161번길 7,,36.92723031,127.0388111,충청남도 아산시청,아산경찰서,Y,2,10,2020-09-01
53,초등학교,모산초등학교(병설유치원 포함),충청남도 아산시 배방읍 배방로 58-52,,36.76944418,127.0519043,충청남도 아산시청,아산경찰서,Y,4,7,2020-09-01
54,초등학교,미래초등학교,충청남도 아산시 탕정면 탕정면로 54-15,,36.79772724,127.0638712,충청남도 아산시청,아산경찰서,Y,1,25,2020-09-01
55,초등학교,배방초등학교(병설유치원 포함),충청남도 아산시 배방읍 북수로25번길 11,,36.77100941,127.0629411,충청남도 아산시청,아산경찰서,Y,5,7,2020-09-01
