,시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
15261,초등학교,미동초등학교,서울특별시 서대문구 충정로 52,서울특별시 서대문구 미근동 36-1,37.56334876,126.9658859,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,2.0,9~12,2021-06-23,3120000,서울특별시 서대문구
15262,초등학교,북성초등학교,서울특별시 서대문구 북아현로1나길 22,서울특별시 서대문구 북아현동 215,37.559433,126.951959,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,1.0,6~7,2021-06-23,3120000,서울특별시 서대문구
15263,초등학교,안산초등학교,서울특별시 서대문구 통일로 321,서울특별시 서대문구 홍제동 44,37.5791691,126.9522121,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,3.0,2~11,2021-06-23,3120000,서울특별시 서대문구
15264,초등학교,연희초등학교,서울특별시 서대문구 연희로 136,서울특별시 서대문구 연희동 88-1,37.56904764,126.9341438,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,3.0,6~25,2021-06-23,3120000,서울특별시 서대문구
15265,초등학교,홍은초등학교,서울특별시 서대문구 세검정로 105,서울특별시 서대문구 홍제동 286-5,37.59754099,126.949458,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,5.0,6~27,2021-06-23,3120000,서울특별시 서대문구
15266,초등학교,홍연초등학교,서울특별시 서대문구 백련사길 55,서울특별시 서대문구 홍은동 305,37.58211871,126.9306604,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,3.0,4~10,2021-06-23,3120000,서울특별시 서대문구
15267,초등학교,가재울초등학교,서울특별시 서대문구 모래내로15길 61,서울특별시 서대문구 남가좌동 385-1,37.574695,126.918151,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,2.0,15~30,2021-06-23,3120000,서울특별시 서대문구
15268,유치원,한양제일유치원,서울특별시 서대문구 통일로25길 30,서울특별시 서대문구 홍제동 82,37.58327551,126.947237,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,1.0,15~19,2021-06-23,3120000,서울특별시 서대문구
15269,유치원,연유치원,서울특별시 서대문구 명지대길 39-4,서울특별시 서대문구 남가좌동 322-35,37.58187896,126.9240746,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,1.0,7,2021-06-23,3120000,서울특별시 서대문구
15270,유치원,인왕유치원,서울특별시 서대문구 통일로32길 23,서울특별시 서대문구 홍제동 105-88,37.58547131,126.949475,서울특별시 서대문구청,서울특별시 서대문경찰서,Y,1.0,4,2021-06-23,3120000,서울특별시 서대문구
