시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,시도명
유치원,운암초병설유치원,광주광역시 북구 서강로 79-14(운암동),광주광역시 북구 운암동 1020,35.1804786,126.8709941,광주광역시 북구청,광주광역시 북부경찰서,Y,1,6~20,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,용봉초병설유치원,광주광역시 북구 서암대로144번길 11(신안동),광주광역시 북구 신안동 235-1,35.1685721,126.900106,광주광역시 북구청,광주광역시 북부경찰서,Y,2,6~9,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,지산초병설유치원,광주광역시 북구 하서로 637(지야동),광주광역시 북구 지야동 340,35.2313692,126.8856735,광주광역시 북구청,광주광역시 북부경찰서,Y,2,8,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,효동초병설유치원,광주광역시 북구 서양로 99(중흥동),광주광역시 북구 중흥동 367-10,35.1690608,126.9118551,광주광역시 북구청,광주광역시 북부경찰서,Y,1,6~10,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,광주북초교병설유치원,광주광역시 북구 하서로 985(효령동),광주광역시 북구 효령동 396-4,35.24649373,126.914035,광주광역시 북구청,광주광역시 북부경찰서,Y,1,6~20,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,매곡초병설유치원,광주광역시 북구 초당로 25(매곡동),광주광역시 북구 매곡동 206-1,35.1942594,126.8942989,광주광역시 북구청,광주광역시 북부경찰서,Y,1,6~8,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,일곡초병설유치원,광주광역시 북구 설죽로 530(일곡동),광주광역시 북구 일곡동 820-1,35.2073398,126.8983981,광주광역시 북구청,광주광역시 북부경찰서,Y,2,8~20,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,문정초병설유치원,광주광역시 북구 대천로169번길 7(문흥동),광주광역시 북구 문흥동 962-1,35.1894417,126.9215787,광주광역시 북구청,광주광역시 북부경찰서,Y,1,6~20,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,삼각초병설유치원,광주광역시 북구 송해로 21(삼각동),광주광역시 북구 삼각동 793-1,35.2006425,126.9002512,광주광역시 북구청,광주광역시 북부경찰서,Y,2,6~30,2021-06-28,3620000,광주광역시 북구,광주광역시
유치원,동림초병설유치원,광주광역시 북구 동림용산로 7(동림동),광주광역시 북구 동림동 1157-1,35.1874514,126.867619,광주광역시 북구청,광주광역시 북부경찰서,Y,1,20~30,2021-06-28,3620000,광주광역시 북구,광주광역시
