,시도명,시군구명,읍/면/동,설치유무,화재발생횟수
0,충청북도,진천군,진천읍,1,31
1,충청북도,진천군,덕산면,0,25
2,충청북도,진천군,초평면,1,17
3,충청북도,진천군,문백면,1,16
4,충청북도,진천군,백곡면,1,7
5,충청북도,진천군,이월면,0,19
6,충청북도,진천군,광혜원면,1,11
