,시도명,시군구명,읍/면/동,설치유무,화재발생횟수
0,충청남도,아산시,염치읍,0,10.0
1,충청남도,아산시,배방읍,0,35.0
2,충청남도,아산시,송악면,1,9.0
3,충청남도,아산시,탕정면,0,0.0
4,충청남도,아산시,음봉면,1,0.0
5,충청남도,아산시,둔포면,1,28.0
6,충청남도,아산시,영인면,1,26.0
7,충청남도,아산시,인주면,1,0.0
8,충청남도,아산시,선장면,1,8.0
9,충청남도,아산시,도고면,1,12.0
10,충청남도,아산시,신창면,0,28.0
11,충청남도,아산시,온양1동,0,0.0
12,충청남도,아산시,온양2동,0,0.0
13,충청남도,아산시,온양3동,0,0.0
14,충청남도,아산시,온양4동,0,0.0
15,충청남도,아산시,온양5동,0,0.0
16,충청남도,아산시,온양6동,0,0.0
